Event,Location,Year,Result,Seconds,Avg time,"""Change"" value"
1500M Men,Munich,1972,03:36.3,216.3,216.18,1.49
1500M Men,Montreal,1976,03:39.2,219.2,,
1500M Men,Moscow,1980,03:38.4,218.4,,
1500M Men,Los Angeles,1984,03:32.5,212.5,,
1500M Men,Barcelona,1992,03:40.1,220.1,,
1500M Men,Atlanta,1996,03:35.8,215.8,,
1500M Men,Sydney,2000,03:32.1,212.1,,
1500M Men,Athens,2004,03:34.2,214.2,,
1500M Men,Beijing,2008,03:33.1,213.1,,
1500M Men,London,2012,03:34.1,214.1,,
1500M Men,Rio,2016,03:50.0,230,,
1500M Men,Tokyo,2021,03:28.3,208.3,,
,,,,,,
,,,,,,
