Event,Location,Year,Result,Avg Time,Change value
200M Men,London,1948,21.1,20.03,8.94
200M Men,Helsinki,1952,20.7,,
200M Men,Melbourne / Stockholm,1956,20.6,,
200M Men,Rome,1960,20.5,,
200M Men,Tokyo,1964,20.3,,
200M Men,Mexico,1968,19.8,,
200M Men,Munich,1972,20,,
200M Men,Montreal,1976,20.23,,
200M Men,Moscow,1980,20.19,,
200M Men,Los Angeles,1984,19.8,,
200M Men,Barcelona,1992,20.01,,
200M Men,Atlanta,1996,19.32,,
200M Men,Sydney,2000,20.09,,
200M Men,Athens,2004,19.79,,
200M Men,Beijing,2008,19.3,,
200M Men,London,2012,19.32,,
200M Men,Rio,2016,19.78,,
200M Men,Tokyo,2021,19.62,,
,,,,,
,,,,,
