Event,Location,Year,Result,Seconds,Avg time,"""Change"" value"
1500M Women,Munich,1972,04:01.4,241.4,240.73,1.45
1500M Women,Montreal,1976,04:05.5,245.5,,
1500M Women,Moscow,1980,03:56.6,236.6,,
1500M Women,Los Angeles,1984,04:03.2,243.2,,
1500M Women,Barcelona,1992,03:55.3,235.3,,
1500M Women,Atlanta,1996,04:00.8,240.8,,
1500M Women,Sydney,2000,04:05.1,245.1,,
1500M Women,Athens,2004,03:57.9,237.9,,
1500M Women,Beijing,2008,04:00.2,240.2,,
1500M Women,Rio,2016,04:08.9,248.9,,
1500M Women,Tokyo,2021,03:53.1,233.1,,
,,,,,,
,,,,,,
